factor,ic1,icir1,days,ic5,icir5,ic10,icir10,ic20,icir20
mf_smart_q_b010_w10_p20,0.011550116754045072,0.08595555372785868,1292,-0.00043289524353897933,-0.0032135582665291204,-0.00034022273064065653,-0.002629010224653286,0.0010139335885847292,0.00803583623626236
mf_smart_q_b025_w10_p20,0.012329273841799784,0.09153836316568283,1292,-0.0005675835496357423,-0.004183200077073831,-0.0008304993127214726,-0.006398474240831707,-0.0002446827869576652,-0.001928351619645665
mf_smart_q_b050_w10_p20,0.013089697248014301,0.10136126456631091,1292,-0.00007031831185539704,-0.0005459542961631081,-0.0003622244646195824,-0.0029173969799240152,-0.0015211381790465727,-0.012500745436437333
mf_smart_q_logv_w10_p20,0.01155214919010505,0.08604663919324419,1292,-0.000585596830895221,-0.004348934649055193,-0.0005039115652516786,-0.0039009936688144905,0.00115296316808384,0.00916666730284072
mf_smart_q_b025_w10_p15,0.012317690858780306,0.09164658951384447,1292,-0.0010833609992463883,-0.008043696845766475,-0.0013459725528042485,-0.010427488972403557,-0.0005152521927878919,-0.004092169711318379
mf_close_to_vwap,-0.025087123912450382,-0.14476109195735323,1292,-0.007028826175066292,-0.040939739059458864,-0.003170887447230382,-0.019023157501262905,-0.004772435267548909,-0.030169254147472485
mf_tail30_return,-0.026843233671664957,-0.21771565490803108,1292,-0.016124848885137117,-0.13543281394624018,-0.015044587216425483,-0.12552058076008396,-0.013500433401813504,-0.12175703766827144
mf_tail30_amount_share,0.0013897456768906732,0.01436297974984044,1292,0.007396948006602236,0.07699009684802732,0.009705172113613696,0.10157561178290915,0.016202911907833645,0.1708099782211588
mf_tail30_vwap_to_day_vwap,-0.01665715298226536,-0.09517460358847656,1292,-0.0015972123841283452,-0.009262176389251022,0.0026124052793670785,0.01561747890168495,0.0010115217792226329,0.006362943029988747
mf_pm_minus_am_return,-0.00011055251432862923,-0.0007109993723274982,1292,-0.0034088430944552695,-0.021607363774420397,-0.0026796969168040004,-0.017819740882104848,-0.0023772581370947762,-0.016146982880212594
mf_realized_volatility,-0.026587897666089853,-0.16536008525996934,1292,-0.031467940402373384,-0.20288299108883864,-0.032434386465411726,-0.2087704095301032,-0.04227393477483947,-0.27823942031527776
mf_downside_semivariance_ratio,0.022346038886862433,0.16972455524953334,1292,0.012386618752026426,0.09162289934652645,0.00987517819948871,0.07675635559501436,0.012413061975492483,0.09654993433494417
mf_realized_skewness,-0.015438829014934171,-0.14486519424734262,1292,-0.01068624076004263,-0.0995380678341339,-0.009501273304913406,-0.09026453317257373,-0.012475039853124556,-0.11983580538803121
mf_realized_kurtosis,-0.028631378080433825,-0.22137895390139783,1292,-0.03922970231630677,-0.30781365490080304,-0.04305386486347545,-0.33531717823873447,-0.05226732326045496,-0.41186846453965886
mf_trend_efficiency,-0.011494456079187605,-0.10078263378853713,1292,-0.016279007882013734,-0.14001597747211028,-0.018829516419221252,-0.16560758062213843,-0.020464944111796446,-0.18621207823021355
mf_max_intraday_drawdown,0.026864689069263318,0.13069667599772244,1292,0.04391089183179656,0.22004333089792133,0.045909383807088235,0.22854036078915396,0.05839127694499003,0.29574135820769476
mf_amount_hhi,0.008609343625255414,0.06435857009823492,1292,0.012853327233403745,0.0998141005447005,0.017295680573318206,0.13427635117972944,0.02579067500645183,0.21027499895654894
mf_amount_entropy,-0.010239142100862561,-0.07176879518649405,1292,-0.015127543990623459,-0.11037392769335545,-0.019358550208542314,-0.1412790700354467,-0.028933230550137655,-0.22058355593253742
mf_top10bar_amount_share,0.0074469125828829415,0.05812390870052089,1292,0.011142052436015121,0.0900790238860236,0.015187986133382616,0.12279322135923856,0.023340971055471154,0.19760131967011244
mf_tail30_amount_z20,-0.007576220740033288,-0.08930711765711498,1292,-0.005185089859212351,-0.0636058404865139,-0.004547603950717409,-0.058542728966918874,-0.004068173055418131,-0.05348901204173073
mf_amount_curve_rmse_w20,0.015036439597791168,0.09534896510818999,1292,0.024442354110707467,0.16307398878800786,0.02796117608218607,0.18583299970774222,0.03965898496535712,0.27964804604626864
mf_price_impact_b050,-0.012957992885412897,-0.0853368680572261,1292,-0.012735328277357164,-0.08220285201882147,-0.014733141478330264,-0.09669099042947132,-0.019740052847173284,-0.13283314018616957
mf_return_amount_corr,-0.015440835785857053,-0.11817811917909507,1292,-0.0029936537117298666,-0.022337981229420774,0.0008516538970802329,0.006691486975007939,-0.0007496730982450157,-0.0059695848295777685
mf_five_minute_amount_excess_w20,-0.0037530280740223796,-0.04208200151436234,1292,-0.0005525185402868306,-0.006699520457610649,0.0004744063185529194,0.005795053324049306,0.005071200613142725,0.06574195845860999
