factor,ic1,icir1,days,ic5,icir5,ic10,icir10,ic20,icir20
mf_realized_hyperskew_w20,-0.016077521113515136,-0.14198822073004963,1292,-0.0203974669987253,-0.18270188737569024,-0.021737931456021823,-0.19168355610669396,-0.02521705028137102,-0.21672161794035869
mf_realized_hyperkurt_w20,-0.027439480315111585,-0.20949359453726824,1292,-0.03585732719520039,-0.2771810681310215,-0.0400739989454228,-0.3096398393384202,-0.04905800671293579,-0.38454583993806346
mf_realized_skew_5m_w20,-0.017379443707449444,-0.12747245576953675,1292,-0.02180330532190342,-0.16556176066963413,-0.02381673658071145,-0.17721510397577953,-0.028897138970875626,-0.21123998627755877
mf_rv_jump_share_w20,0.03067631286148277,0.13991839029370948,1292,0.044389235084893744,0.2032647021578439,0.05183228624178932,0.23600260615257052,0.0677963586947361,0.3191117239540642
mf_realized_skew_pos_w20,-0.0011628686881568935,-0.03046211809472644,1292,0.00007165982011418677,0.0018680378242149145,0.0012483978810412257,0.03200251107537161,0.001032352431454068,0.027167945054356036
mf_realized_skew_neg_w20,0.0011628686881568935,0.03046211809472644,1292,-0.00007165982011418647,-0.0018680378242149067,-0.0012483978810412255,-0.03200251107537161,-0.001032352431454068,-0.027167945054356036
mf_left_tail_mean_w20,0.03376780089577856,0.17037349021280215,1292,0.049250147531706485,0.2559767955011534,0.0566954068509929,0.2920613266100809,0.07398678401233573,0.3925169422541742
mf_left_tail_cvar_ratio_w20,-0.02601964038736284,-0.15205764287303325,1292,-0.03470292467386761,-0.20124254827949703,-0.04030733514310266,-0.23663959418936695,-0.05293277964812745,-0.31546837406089007
mf_id_vov_w20,,,0,,,,,,
mf_left_tail_uncertainty_w20,,,0,,,,,,
mf_reversal_hour_weighted_d20,-0.01051876800213994,-0.06789578255823404,1292,-0.019437568107676443,-0.1337463668451242,-0.029393111353753824,-0.20501221871991063,-0.041264079400948235,-0.299346962163793
mf_overnight_gap_sum_w5,,,0,,,,,,
mf_intraday_momentum_sum_w5,-0.012451055150950463,-0.06995472159757937,1292,-0.007329370768910942,-0.04389981703934129,-0.011030690466915401,-0.06632696726281899,-0.011325230587224703,-0.06867254518240937
