factor,ic_mean,icir,top_bp,bot_bp,spread_bp,long_bp,short_bp
mf_realized_hyperskew_w20,-0.01607752111351514,-0.14198822073004963,-0.8163193873127516,0.03234693841734873,-0.8486663257301003,-0.03234693841734873,-0.8163193873127516
mf_realized_hyperkurt_w20,-0.027439480315111585,-0.20949359453726824,-1.0502247287417106,1.2760045878622188,-2.32622931660393,-1.2760045878622188,-1.0502247287417106
mf_realized_skew_5m_w20,-0.017379443707449444,-0.12747245576953675,-0.232543502466257,-0.5920498946856735,0.3595063922194165,0.5920498946856735,-0.232543502466257
mf_rv_jump_share_w20,0.03067631286148277,0.13991839029370948,1.4866134581281294,-0.5857588722030849,2.0723723303312145,1.4866134581281294,0.5857588722030849
mf_realized_skew_pos_w20,-0.0011628686881568935,-0.03046211809472644,0.2512806870709197,0.18979774934034047,0.06148293773057925,-0.18979774934034047,0.2512806870709197
mf_realized_skew_neg_w20,0.0011628686881568935,0.03046211809472644,0.11816529740420356,0.2756979630553941,-0.1575326656511906,0.11816529740420356,-0.2756979630553941
mf_left_tail_mean_w20,0.03376780089577856,0.17037349021280215,-0.04175171232639754,-0.33373270094487434,0.29198098861847677,-0.04175171232639754,0.33373270094487434
mf_left_tail_cvar_ratio_w20,-0.02601964038736284,-0.15205764287303328,-3.1262035569234587,1.5232057485066577,-4.649409305430116,-1.5232057485066577,-3.1262035569234587
mf_reversal_hour_weighted_d20,-0.01051876800213994,-0.06789578255823404,-2.3655960720401867,1.1371431527533749,-3.5027392247935616,-1.1371431527533749,-2.3655960720401867
mf_intraday_momentum_sum_w5,-0.012451055150950465,-0.06995472159757939,-1.9363965168898742,0.40774747652223603,-2.34414399341211,-0.40774747652223603,-1.9363965168898742
mf_apm_tstat_w20,-0.008576260394398738,-0.05403286943027837,1.0887866611053458,-1.9299897241669917,3.0187763852723375,1.9299897241669917,1.0887866611053458
mf_tail30_sharpe_ratio,-0.02713625388953886,-0.23227223880965614,-9.35758688734879,5.4993221436703035,-14.856909031019093,-5.4993221436703035,-9.35758688734879
mf_logvol_intraday_std_w20,-0.020169499959901204,-0.114886392333635,-0.9271580900656555,1.088466123254957,-2.0156242133206126,-1.088466123254957,-0.9271580900656555
mf_pm_open30_to_am_open30_vol_ratio,0.02320151688475722,0.15255484075214623,0.09857958397509982,-0.6454094678355362,0.743989051810636,0.09857958397509982,0.6454094678355362
mf_chip_return_bin_skewness,0.02800033583870609,0.1612231568938497,0.6412332490655543,-0.3637211184905305,1.004954367556085,0.6412332490655543,0.3637211184905305
mf_close_vs_poc,-0.0017043531539221622,-0.012292992060068364,-2.5337821677150214,3.54883628892154,-6.082618456636562,-3.54883628892154,-2.5337821677150214
mf_logsig_v_l2_1,0.02624365360423502,0.15646921296982608,1.3509149417526674,-0.620922725364803,1.9718376671174702,1.3509149417526674,0.620922725364803
mf_logsig_v_l2_21,0.030841513279290245,0.1906211026782494,2.4923061393348913,-3.7061110104440647,6.1984171497789555,2.4923061393348913,3.7061110104440647
mf_tail_volume_weighted_return,-0.014318980569094648,-0.16458812999495107,-3.316231039056164,2.373305608419489,-5.689536647475652,-2.373305608419489,-3.316231039056164
mf_volume_up_return_std,0.036493452791770215,0.17930833260963222,0.025614384877032628,-0.47043849849313213,0.4960528833701648,0.025614384877032628,0.47043849849313213
mf_bottomvol_ret_w20,-0.004395833727589681,-0.059713766677604,-2.5893389780164324,2.129079357977826,-4.718418335994258,-2.129079357977826,-2.5893389780164324
